NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR00078,"Vandolah Power Company, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12012,"Veolia Energy Operating Services, LLC",SERC,,,,,GOP-1,,,,,,,,,,,,
NCR12564,"Village of Chatham, IL",SERC,,,,,,,,,,,TO,,,,,,
NCR01214,Virginia Electric & Power Company d/b/a Dominion Energy Virginia - Electric Transmission,SERC,,DP,,,,,,,,,TO,,,,,,
NCR09006,Virginia Electric & Power Company d/b/a Dominion Energy Virginia - Nuclear,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR09028,Virginia Electric & Power Company d/b/a Dominion Energy Virginia - Power Generation,SERC,,,GO-1,GO-2,GOP-1,GOP-2,,,,,,,,,,,
NCR13402,"Virginia Line Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR00200,Vistra Corp.,SERC,,,GO-1,,,,,,,,,,,,,,
NCR00940,"Wabash Valley Power Association, Inc.",SERC,,DP,,,,,,,,,,,,,,,
NCR12491,Walnut Bend Solar,SERC,,,GO-1,,,,,,,,,,,,,,
NCR01314,Walton Bainbridge Power Facility,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01313,Walton Discover Power Facility,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11599,"Washington County Power, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11625,"WestRock Southeast, LLC",SERC,,,,,GOP-1,,,,,,,,,,,,
NCR13303,Whitehorn Solar LLC,SERC,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR12570,Wildflower Solar LLC,SERC,,,GO-1,,,,,,,,,,,,,,
NCR13059,Winfield Solar I LLC,SERC,,,GO-1,,,,,,,,,,,,,,
NCR00081,"Winter Park, City of",SERC,,,,,,,,,,,,,,,DP-UFLS,,
NCR13432,"Wolfskin Solar, LLC",SERC,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR12413,224WB 8me LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12167,225DD 8me LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12086,"2W Permian Solar, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12555,"7V Solar Ranch, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12082,"ACT Power Services, LLC",Texas RE,,,,,GOP-1,GOP-2,,,,,,,,,,,
NCR10001,"Air Liquide Large Industries U.S., LP",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12516,Al Pastor BESS LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR11641,"Alamo 6, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12062,Alliance for Cooperative Energy Services Power Marketing LLC,Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR12051,"Amadeus Wind, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR04006,American Electric Power Service Corp as agent for AEP Texas Inc. and Public Service Company of Oklahoma,Texas RE,,DP,,,,,,,,,TO,TOP,TP,,,,
NCR12461,"Anemoi Energy Storage, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13047,"Angelo Solar, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13085,"Angelo Storage, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12103,"Anson Solar Center, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13472,"AP Solar 2, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12509,AP Sunray LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13079,Ash Creek Solar LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR11746,"Astra Wind, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR10259,"Avangrid Power, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12115,"Aviator Wind, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13048,AWAM - Angelo Solar,Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR13086,AWAM - Angelo Storage,Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR13043,"AWAM - Big Elm Solar, LLC",Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR12560,AWAM - Great Kiskadee Storage,Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR04008,"Bandera Electric Cooperative, Inc.",Texas RE,,DP,,,,,,,,,TO,,TP,,,,
NCR13151,Barilla Solar,Texas RE,,,,GO-2,,,,,,,,,,,,,
NCR13547,Barrett Solar Project LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR04011,BASF Corp,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
